9,9,9,9,9,9,9,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9
9,9,9,9,9,9,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9
9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,9,9,9,9
9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,9,9,9
9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,9,9,9,4,4,4,1,1,1,1,1,1,1,1,1,1,1,9,9,9
9,9,9,1,1,1,1,9,9,9,1,1,1,1,1,1,1,1,1,9,9,9,9,9,4,4,1,1,1,1,1,1,1,1,1,1,1,9,9,9
9,9,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,3,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,9,9,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9
9,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9
9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
